,가맹시,가맹구,음식,관광/쇼핑,레저활동,공연/전시,숙박,엔트로피,엔트로피극대화지수
54,경남,밀양시,1.529,0.407,10.935,0.13,1.548,1.2522,0.7781
55,경남,사천시,1.914,0.452,3.638,13.617,1.364,1.2089,0.7511
56,경남,산청군,2.51,0.94,3.496,0.0,0.033,0.8362,0.5196
57,경남,양산시,1.935,0.791,9.489,0.026,0.558,1.2,0.7456
58,경남,의령군,2.139,0.679,7.347,0.0,0.695,1.2039,0.7481
59,경남,진주시,1.324,0.823,0.5,0.0,1.142,1.0888,0.6765
60,경남,창녕군,1.276,0.341,12.802,0.0,1.801,1.2184,0.757
61,경남,창원시,1.5,0.72,0.441,0.073,1.227,1.1078,0.6883
62,경남,통영시,0.828,0.341,2.056,0.0,2.385,0.9391,0.5835
63,경남,하동군,0.775,0.418,0.874,0.0,2.301,0.9372,0.5823
64,경남,함안군,1.43,0.597,1.262,0.0,1.494,1.1242,0.6985
65,경남,함양군,2.87,0.697,4.421,0.0,0.24,0.9915,0.6161
66,경남,합천군,1.63,0.817,24.095,0.0,0.334,1.2433,0.7725
67,경북,경산시,2.81,0.855,1.496,0.19,0.047,0.8035,0.4992
68,경북,경주시,1.396,0.208,14.841,0.003,1.929,1.1686,0.7261
69,경북,고령군,1.874,0.852,26.877,0.0,0.026,1.0764,0.6688
70,경북,구미시,1.45,1.026,0.802,0.011,0.651,1.0183,0.6327
71,경북,김천시,2.005,0.582,5.425,0.0,1.026,1.2129,0.7536
72,경북,문경시,0.956,0.255,3.16,0.0,2.438,0.9345,0.5806
73,경북,봉화군,2.717,0.918,0.0,0.0,0.025,0.7296,0.4533
74,경북,상주시,1.755,0.714,37.034,0.0,0.114,1.1919,0.7406
75,경북,성주군,2.565,0.733,0.61,0.0,0.477,1.0098,0.6274
76,경북,안동시,2.166,0.477,4.032,0.0,1.161,1.1808,0.7337
77,경북,영덕군,2.598,0.668,18.122,0.0,0.126,1.0999,0.6834
78,경북,영양군,3.567,0.527,0.0,0.0,0.217,0.7993,0.4966
79,경북,영주시,1.194,1.036,0.153,0.309,0.822,1.0043,0.624
80,경북,영천시,1.22,0.928,32.139,0.0,0.184,1.1706,0.7273
81,경북,예천군,2.634,0.608,24.054,0.0,0.064,1.0884,0.6763
82,경북,울릉군,2.235,0.56,2.922,0.0,0.979,1.1593,0.7203
83,경북,울진군,1.998,0.435,0.743,0.0,1.443,1.1018,0.6846
84,경북,의성군,2.322,0.468,37.653,0.0,0.197,1.2195,0.7577
